# qwen35moe (Qwen3.6-35B-A3B-Q4_K_M) per-layer oracle fingerprints
# prompt tokens: 785 3974 13876 38835 35308 916 ; last-token column; sum/absum/v0..v2
# from llama.cpp g35moe_oracle_dbg (cb_eval). Stage-2a localization targets (relative, not bit-exact: oracle Q4 vs SP f32).

ORC l_out-10           ne=[2048,6] sum=-0.02799 absum=73.89385 v0=-0.035369 v1=0.008011 v2=-0.039323
ORC attn_gated-11      ne=[4096,6] sum=0.95281 absum=25.52980 v0=0.000123 v1=0.007691 v2=-0.003460
ORC attn_output-11     ne=[2048,6] sum=-0.25716 absum=14.51832 v0=-0.018625 v1=0.004175 v2=0.001442
ORC ffn_moe_out-11     ne=[2048,6] sum=0.11628 absum=13.70011 v0=0.001641 v1=-0.003006 v2=-0.009219
ORC ffn_out-11         ne=[2048,6] sum=0.01499 absum=14.93319 v0=0.006337 v1=-0.000182 v2=-0.005660
ORC l_out-11           ne=[2048,6] sum=-0.27016 absum=73.84624 v0=-0.047657 v1=0.012004 v2=-0.043542
ORC conv_output_silu-12 ne=[8192,6] sum=13.76590 absum=240.98752 v0=-0.010378 v1=0.002637 v2=0.219289
ORC attn_output-12     ne=[128,32] sum=-0.00138 absum=0.00357 v0=-0.000000 v1=0.000003 v2=0.000134
ORC final_output-12    ne=[4096,6] sum=-0.06512 absum=25.33533 v0=-0.001719 v1=0.000950 v2=-0.027216
ORC linear_attn_out-12 ne=[2048,6] sum=-0.26444 absum=16.76827 v0=-0.015901 v1=-0.003389 v2=-0.002833
ORC linear_attn_out-12 (reshaped) ne=[2048,6] sum=-0.26444 absum=16.76827 v0=-0.015901 v1=-0.003389 v2=-0.002833
ORC ffn_moe_out-12     ne=[2048,6] sum=-0.13531 absum=17.31445 v0=-0.005093 v1=-0.006669 v2=-0.008624
ORC ffn_out-12         ne=[2048,6] sum=0.20516 absum=17.76308 v0=-0.004475 v1=-0.007289 v2=-0.008642
ORC l_out-12           ne=[2048,6] sum=-0.32944 absum=74.53893 v0=-0.068032 v1=0.001326 v2=-0.055016
ORC conv_output_silu-13 ne=[8192,6] sum=11.40510 absum=291.43046 v0=0.020915 v1=-0.105091 v2=-0.051744
ORC attn_output-13     ne=[128,32] sum=-0.00002 absum=0.00003 v0=-0.000000 v1=0.000000 v2=0.000000
